chemical_formula,A,B,D0,pred_score,manhattan,euclid
CO,C,O,11.092,-3.233936161579095,2,2.0
ThO,Th,O,9.0,-12.892662708656516,18,13.92838827718412
BO,B,O,8.28,-3.8952267726699006,3,3.0
SiO,Si,O,8.26,-3.4236494349920297,3,2.23606797749979
LaO,La,O,8.23,-11.97992919856651,17,13.601470508735444
HfO,Hf,O,8.19,-11.210524382590307,16,12.649110640673518
ZrO,Zr,O,7.85,-10.350845439846902,15,12.36931687685298
BF,B,F,7.81,-6.029856609550734,4,4.0
CN,C,N,7.76,-1.4581804819486024,1,1.0
CS,C,S,7.35,-2.8150736124029843,3,2.23606797749979
YO,Y,O,7.29,-11.132434903668354,16,13.341664064126334
ScO,Sc,O,6.96,-10.317176912370027,15,13.152946437965905
AlF,Al,F,6.89,-5.860884485651099,5,4.123105625617661
LaF,La,F,6.86,-14.114559035447343,18,14.560219778561036
TiO,Ti,O,6.82,-9.576673978128614,14,12.165525060596439
GeO,Ge,O,6.78,-3.984957808589912,4,2.8284271247461903
TbF,Tb,F,6.66,-14.114559035447343,18,14.560219778561036
NO,N,O,6.4968,-1.7757556796304925,1,1.0
IrC,Ir,C,6.45,-4.913876958196364,9,6.4031242374328485
SiS,Si,S,6.42,-2.0242826495302784,2,2.0
CeF,Ce,F,6.41,-14.114559035447343,18,14.560219778561036
VO,V,O,6.41,-8.910130096980868,13,11.180339887498949
PN,P,N,6.36,-1.534030531387458,1,1.0
PtC,Pt,C,6.28,-4.3019355866492095,8,5.656854249492381
YF,Y,F,6.2,-13.267064740549188,17,14.317821063276353
ScF,Sc,F,6.17,-12.45180674925086,16,14.142135623730951
PO,P,O,6.15,-2.557008422680468,2,1.4142135623730951
GdF,Gd,F,6.12,-14.114559035447343,18,14.560219778561036
BaF,Ba,F,6.015,-14.746617473889575,19,15.524174696260024
BS,B,S,6.01,-2.4999927253048506,4,3.1622776601683795
RhC,Rh,C,6.01,-3.9988693131881323,8,5.830951894845301
PrF,Pr,F,6.0,-14.114559035447343,18,14.560219778561036
GaF,Ga,F,5.98,-5.929004675712464,6,4.47213595499958
LaS,La,S,5.91,-10.580562413104758,16,13.341664064126334
ErF,Er,F,5.9,-14.114559035447343,18,14.560219778561036
HF,H,F,5.869,-14.425950330416027,17,16.0312195418814
BeF,Be,F,5.85,-13.903340595773175,15,15.0
SmF,Sm,F,5.81,-14.114559035447343,18,14.560219778561036
BaO,Ba,O,5.79,-12.611987637008742,18,14.560219778561036
PmF,Pm,F,5.78,-14.114559035447343,18,14.560219778561036
CF,C,F,5.67,-5.368565998459928,3,3.0
NdF,Nd,F,5.65,-14.114559035447343,18,14.560219778561036
RaF,Ra,F,5.61,-15.662698198899353,20,15.811388300841896
EuF,Eu,F,5.59,-14.114559035447343,18,14.560219778561036
SrF,Sr,F,5.58,-13.920446227116482,18,15.297058540778355
SiF,Si,F,5.57,-5.558279271872863,4,3.1622776601683795
BCl,B,Cl,5.5,-3.99021031074139,5,4.123105625617661
CaF,Ca,F,5.48,-13.180082865942342,17,15.132745950421556
DyF,Dy,F,5.47,-14.114559035447343,18,14.560219778561036
LaCl,La,Cl,5.41,-12.070779998541298,17,14.317821063276353
HoF,Ho,F,5.41,-14.114559035447343,18,14.560219778561036
YbF,Yb,F,5.41,-14.114559035447343,18,14.560219778561036
LuF,Lu,F,5.39,-14.114559035447343,18,14.560219778561036
SO,S,O,5.359,-1.3993667854617513,1,1.0
CP,C,P,5.28,-1.657431975184267,2,1.4142135623730951
AlO,Al,O,5.27,-3.726254648770266,4,3.1622776601683795
InF,In,F,5.25,-6.096217615490675,7,5.0
TmF,Tm,F,5.24,-14.114559035447343,18,14.560219778561036
AlCl,Al,Cl,5.12,-3.817105448745054,4,4.0
GeF,Ge,F,5.0,-6.119587645470745,5,3.605551275463989
AsO,As,O,4.98,-3.6391799754514986,3,2.23606797749979
GaCl,Ga,Cl,4.92,-3.8852256388064186,5,4.123105625617661
SnF,Sn,F,4.9,-6.5297220170101316,6,4.242640687119285
SrO,Sr,O,4.88,-11.785816390235649,17,14.317821063276353
TbCl,Tb,Cl,4.87,-12.070779998541298,17,14.317821063276353
NS,N,S,4.8,-2.691672168606175,2,1.4142135623730951
CaO,Ca,O,4.76,-11.045453029061509,16,14.142135623730951
TiS,Ti,S,4.75,-8.177307192666863,13,12.041594578792296
MgF,Mg,F,4.75,-13.182852785414953,16,15.033296378372908
CeCl,Ce,Cl,4.74,-12.070779998541298,17,14.317821063276353
GdCl,Gd,Cl,4.67,-12.070779998541298,17,14.317821063276353
ErCl,Er,Cl,4.65,-12.070779998541298,17,14.317821063276353
LaBr,La,Br,4.62,-11.996274032640514,16,14.142135623730951
BeO,Be,O,4.6,-11.768710758892341,14,14.0
TlF,Tl,F,4.57,-6.415118049017454,8,5.656854249492381
PS,P,S,4.54,-1.157641637218717,1,1.0
BaCl,Ba,Cl,4.53,-12.70283843698353,18,15.297058540778355
BBr,B,Br,4.49,-3.915704344840608,6,4.47213595499958
InCl,In,Cl,4.44,-4.0524385785846295,6,4.47213595499958
AlBr,Al,Br,4.43,-3.742599482844272,5,4.123105625617661
CuF,Cu,F,4.42,-7.13012072557794,8,6.324555320336759
SeO,Se,O,4.41,-2.5301215968539172,2,2.0
CrO,Cr,O,4.4,-8.362433161741055,12,10.198039027185569
SbF,Sb,F,4.4,-6.816124119692889,5,3.605551275463989
OH,O,H,4.392,-12.291320493535194,16,15.033296378372908
PrCl,Pr,Cl,4.39,-12.070779998541298,17,14.317821063276353
BaS,Ba,S,4.36,-11.21262085154699,17,14.317821063276353
SmCl,Sm,Cl,4.34,-12.070779998541298,17,14.317821063276353
NdCl,Nd,Cl,4.34,-12.070779998541298,17,14.317821063276353
PmCl,Pm,Cl,4.29,-12.070779998541298,17,14.317821063276353
HoCl,Ho,Cl,4.24,-12.070779998541298,17,14.317821063276353
AsF,As,F,4.2,-5.773809812332332,4,2.8284271247461903
EuCl,Eu,Cl,4.2,-12.070779998541298,17,14.317821063276353
NiC,Ni,C,4.167,-2.5957577395800095,6,4.47213595499958
DyCl,Dy,Cl,4.07,-12.070779998541298,17,14.317821063276353
NSe,N,Se,4.0,-3.779034114409172,3,2.23606797749979
FeC,Fe,C,3.961,-4.050977178798947,8,6.324555320336759
LuCl,Lu,Cl,3.94,-12.070779998541298,17,14.317821063276353
TmCl,Tm,Cl,3.92,-12.070779998541298,17,14.317821063276353
GaO,Ga,O,3.91,-3.7943748388316303,5,3.605551275463989
YbCl,Yb,Cl,3.88,-12.070779998541298,17,14.317821063276353
CeBr,Ce,Br,3.87,-11.996274032640514,16,14.142135623730951
AlS,Al,S,3.84,-2.3268878633085146,3,3.0
PbO,Pb,O,3.83,-4.827681831226474,6,4.47213595499958
PtO,Pt,O,3.82,-7.193794762332333,10,7.211102550927978
TlCl,Tl,Cl,3.82,-4.371339012111409,7,5.0
BeS,Be,S,3.8,-10.36934397343059,15,14.035668847618199
BaBr,Ba,Br,3.71,-12.628332471082746,17,15.132745950421556
MnO,Mn,O,3.7,-7.737532652237848,11,9.219544457292887
SeS,Se,S,3.7,-1.130754811392166,1,1.0
NiS,Ni,S,3.651,-4.088250129801382,7,6.082762530298219
AgF,Ag,F,3.64,-7.754870895886174,9,6.708203932499369
PbF,Pb,F,3.64,-6.962311668107308,7,5.0
PrBr,Pr,Br,3.57,-11.996274032640514,16,14.142135623730951
SH,S,H,3.55,-10.891953708073444,17,15.132745950421556
MgO,Mg,O,3.53,-11.04822294853412,15,14.035668847618199
NdBr,Nd,Br,3.52,-11.996274032640514,16,14.142135623730951
TeS,Te,S,3.5,-2.244275818404959,2,2.0
NF,N,F,3.5,-3.910385516511326,2,2.0
PbS,Pb,S,3.49,-3.428315045764723,5,3.605551275463989
LiO,Li,O,3.49,-11.695488422420595,15,15.0
TbI,Tb,I,3.48,-12.089635032130616,15,14.035668847618199
SrS,Sr,S,3.48,-10.386449604773897,16,14.142135623730951
NH,N,H,3.47,-10.857641799800673,15,14.035668847618199
BiO,Bi,O,3.47,-5.512924328070372,5,4.123105625617661
PmBr,Pm,Br,3.47,-11.996274032640514,16,14.142135623730951
CH,C,H,3.46,-9.399461317852072,14,13.038404810405298
GdI,Gd,I,3.46,-12.089635032130616,15,14.035668847618199
CaS,Ca,S,3.46,-9.646086243599758,15,14.035668847618199
PtH,Pt,H,3.44,-8.889115693947806,14,10.295630140987
SmBr,Sm,Br,3.43,-11.996274032640514,16,14.142135623730951
CuBr,Cu,Br,3.43,-5.011835722771113,6,6.0
BH,B,H,3.42,-8.738170706761267,13,12.041594578792296
ScCl,Sc,Cl,3.4,-10.408027712344815,15,14.035668847618199
EuBr,Eu,Br,3.38,-11.996274032640514,16,14.142135623730951
MgBr,Mg,Br,3.35,-11.064567782608124,16,15.033296378372908
AuAl,Au,Al,3.34,-2.7222608637893337,5,3.605551275463989
GeH,Ge,H,3.3,-8.960009384707305,16,13.341664064126334
MgCl,Mg,Cl,3.29,-11.139073748508908,15,15.0
ErI,Er,I,3.27,-12.089635032130616,15,14.035668847618199
CuI,Cu,I,3.27,-5.1051967222612165,7,6.082762530298219
FeS,Fe,S,3.24,-5.543469569020319,9,8.06225774829855
AgCl,Ag,Cl,3.22,-5.7110918589801285,8,6.324555320336759
AuH,Au,H,3.22,-9.602839981709836,15,11.180339887498949
NiSe,Ni,Se,3.218,-4.0959767507432785,6,6.0
BiS,Bi,S,3.17,-4.11355754260862,4,3.1622776601683795
PrI,Pr,I,3.17,-12.089635032130616,15,14.035668847618199
NdI,Nd,I,3.12,-12.089635032130616,15,14.035668847618199
AgBr,Ag,Br,3.1,-5.500345512956617,7,6.082762530298219
AuS,Au,S,3.089,-5.0491487270978475,8,5.830951894845301
BiCl,Bi,Cl,3.08,-5.60377512804516,5,3.605551275463989
PmI,Pm,I,3.07,-12.089635032130616,15,14.035668847618199
SiH,Si,H,3.06,-8.867671058543166,15,13.152946437965905
AlH,Al,H,3.06,-8.565065844764929,14,12.165525060596439
SmI,Sm,I,3.04,-12.089635032130616,15,14.035668847618199
PH,P,H,3.02,-9.734312070854727,16,14.142135623730951
EuI,Eu,I,2.99,-12.089635032130616,15,14.035668847618199
BiH,Bi,H,2.9,-10.383569274971155,19,14.866068747318506
NBr,N,Br,2.9,-5.187019113003034,4,2.8284271247461903
IF,I,F,2.879,-5.6029218630021385,3,3.0
DyI,Dy,I,2.85,-12.089635032130616,15,14.035668847618199
HoI,Ho,I,2.85,-12.089635032130616,15,14.035668847618199
GaH,Ga,H,2.84,-8.633186034826295,15,12.36931687685298
CuS,Cu,S,2.8,-3.596124103235355,6,5.0990195135927845
CuO,Cu,O,2.79,-4.995490888697106,7,5.385164807134504
ClO,Cl,O,2.751,-2.889584370898291,2,1.4142135623730951
FeSe,Fe,Se,2.739,-5.551196189962216,8,8.0
LuI,Lu,I,2.73,-12.089635032130616,15,14.035668847618199
CuH,Cu,H,2.73,-7.888429099788953,13,10.44030650891055
TmI,Tm,I,2.7,-12.089635032130616,15,14.035668847618199
YbI,Yb,I,2.67,-12.089635032130616,15,14.035668847618199
ClF,Cl,F,2.617,-2.2254806368556217,1,1.0
AgI,Ag,I,2.6,-5.2592806328903,6,6.0
CuSe,Cu,Se,2.55,-3.6038507241772515,5,5.0
MnH,Mn,H,2.5,-5.021497209078292,9,6.708203932499369
InH,In,H,2.48,-8.800398974604505,16,12.649110640673518
LiH,Li,H,2.428365,-0.595832071114599,1,1.0
MgS,Mg,S,2.4,-9.648856163072368,14,14.0
CuTe,Cu,Te,2.35,-3.789667260334003,6,5.0990195135927845
AgH,Ag,H,2.28,-8.62566862433694,14,10.770329614269007
BrCl,Br,Cl,2.233,-1.7674477726382354,1,1.0
ICl,I,Cl,2.1531,-3.3774412261465168,2,2.0
BeH,Be,H,2.034,-0.9536481140069364,2,1.4142135623730951
BaH,Ba,H,1.95,-3.2136234673958777,6,5.0990195135927845
AgAl,Ag,Al,1.95,-1.8939864102350747,4,2.8284271247461903
KH,K,H,1.86,-1.12290201878683,3,3.0
CsH,Cs,H,1.81,-2.4048332614455887,5,5.0
IO,I,O,1.8,-4.959172065793924,4,3.1622776601683795
CaH,Ca,H,1.7,-1.71357683225463,4,3.1622776601683795
SrH,Sr,H,1.66,-2.3874522206227837,5,4.123105625617661
PbH,Pb,H,1.59,-9.666493027221138,18,13.92838827718412
MgH,Mg,H,1.34,-1.243097545001076,3,2.23606797749979
NaLi,Na,Li,0.88097,-0.14229685321029625,1,1.0
ZnH,Zn,H,0.851,-8.714869442004572,14,11.40175425099138
LiRb,Li,Rb,0.7341,-1.0845007747370374,3,3.0
LiCs,Li,Cs,0.7284639,-1.8090011903309895,4,4.0
NaK,Na,K,0.646175,-0.38477309446193464,1,1.0
NaRb,Na,Rb,0.61713614,-0.9422039215267413,2,2.0
KRb,K,Rb,0.5183,-0.5574308270648066,1,1.0
RbCs,Rb,Cs,0.47562,-0.7245004155939521,1,1.0
XeCl,Xe,Cl,0.03,-5.15230192238994,3,2.23606797749979
