chemical_formula,A,B,D0,geo_cost,pred_score,manhattan,euclid
CO,C,O,11.092,3.3730926782999733,-3.3730926782999733,2,2.0
ThO,Th,O,9.0,13.971620864833767,-13.971620864833767,18,13.92838827718412
BO,B,O,8.28,4.0823478223032,-4.0823478223032,3,3.0
SiO,Si,O,8.26,3.5504648151749114,-3.5504648151749114,3,2.23606797749979
LaO,La,O,8.23,13.063866454242337,-13.063866454242337,17,13.601470508735444
HfO,Hf,O,8.19,12.339517230558357,-12.339517230558357,16,12.649110640673518
ZrO,Zr,O,7.85,11.42459710163037,-11.42459710163037,15,12.36931687685298
BF,B,F,7.81,6.257523920618876,-6.257523920618876,4,4.0
CN,C,N,7.76,1.5360862797286254,-1.5360862797286254,1,1.0
CS,C,S,7.35,2.964646158027326,-2.964646158027326,3,2.23606797749979
YO,Y,O,7.29,12.259120690170167,-12.259120690170167,16,13.341664064126334
ScO,Sc,O,6.96,11.386074910073578,-11.386074910073578,15,13.152946437965905
AlF,Al,F,6.89,6.074656409435039,-6.074656409435039,5,4.123105625617661
LaF,La,F,6.86,15.239042552558013,-15.239042552558013,18,14.560219778561036
TiO,Ti,O,6.82,10.593637719343688,-10.593637719343688,14,12.165525060596439
GeO,Ge,O,6.78,4.170080342083126,-4.170080342083126,4,2.8284271247461903
TbF,Tb,F,6.66,15.239042552558013,-15.239042552558013,18,14.560219778561036
NO,N,O,6.4968,1.8370063985713476,-1.8370063985713476,1,1.0
IrC,Ir,C,6.45,5.665787662670409,-5.665787662670409,9,6.4031242374328485
SiS,Si,S,6.42,2.1245529003021044,-2.1245529003021044,2,2.0
CeF,Ce,F,6.41,15.239042552558013,-15.239042552558013,18,14.560219778561036
VO,V,O,6.41,9.870292057263677,-9.870292057263677,13,11.180339887498949
PN,P,N,6.36,1.6158202030020243,-1.6158202030020243,1,1.0
PtC,Pt,C,6.28,4.927721266757315,-4.927721266757315,8,5.656854249492381
YF,Y,F,6.2,14.434296788485844,-14.434296788485844,17,14.317821063276353
ScF,Sc,F,6.17,13.561251008389254,-13.561251008389254,16,14.142135623730951
PO,P,O,6.15,2.630637634176291,-2.630637634176291,2,1.4142135623730951
GdF,Gd,F,6.12,15.239042552558013,-15.239042552558013,18,14.560219778561036
BaF,Ba,F,6.015,16.01951430268395,-16.01951430268395,19,15.524174696260024
BS,B,S,6.01,2.6917457784690133,-2.6917457784690133,4,3.1622776601683795
RhC,Rh,C,6.01,4.699632048344599,-4.699632048344599,8,5.830951894845301
PrF,Pr,F,6.0,15.239042552558013,-15.239042552558013,18,14.560219778561036
GaF,Ga,F,5.98,6.174842138190805,-6.174842138190805,6,4.47213595499958
LaS,La,S,5.91,11.63795453936953,-11.63795453936953,16,13.341664064126334
ErF,Er,F,5.9,15.239042552558013,-15.239042552558013,18,14.560219778561036
HF,H,F,5.869,16.248317614912118,-16.248317614912118,17,16.0312195418814
