chemical_formula,A,B,D0,geo_cost,pred_score,manhattan,euclid
SiS,Si,S,6.42,1.017339231035861,-1.017339231035861,2,2.0
LaS,La,S,5.91,3.7620761255705046,-3.7620761255705046,16,13.341664064126334
LaCl,La,Cl,5.41,4.423949474494349,-4.423949474494349,17,14.317821063276353
GaCl,Ga,Cl,4.92,2.1040661196576202,-2.1040661196576202,5,4.123105625617661
TbCl,Tb,Cl,4.87,4.423949474494349,-4.423949474494349,17,14.317821063276353
CeCl,Ce,Cl,4.74,4.423949474494349,-4.423949474494349,17,14.317821063276353
GdCl,Gd,Cl,4.67,4.423949474494349,-4.423949474494349,17,14.317821063276353
ErCl,Er,Cl,4.65,4.423949474494349,-4.423949474494349,17,14.317821063276353
LaBr,La,Br,4.62,3.8591455290497665,-3.8591455290497665,16,14.142135623730951
PS,P,S,4.54,0.4598028229030424,-0.4598028229030424,1,1.0
BaCl,Ba,Cl,4.53,4.541427306112069,-4.541427306112069,18,15.297058540778355
InCl,In,Cl,4.44,2.302666613907741,-2.302666613907741,6,4.47213595499958
PrCl,Pr,Cl,4.39,4.423949474494349,-4.423949474494349,17,14.317821063276353
BaS,Ba,S,4.36,3.8795539571882243,-3.8795539571882243,17,14.317821063276353
SmCl,Sm,Cl,4.34,4.423949474494349,-4.423949474494349,17,14.317821063276353
NdCl,Nd,Cl,4.34,4.423949474494349,-4.423949474494349,17,14.317821063276353
PmCl,Pm,Cl,4.29,4.423949474494349,-4.423949474494349,17,14.317821063276353
HoCl,Ho,Cl,4.24,4.423949474494349,-4.423949474494349,17,14.317821063276353
EuCl,Eu,Cl,4.2,4.423949474494349,-4.423949474494349,17,14.317821063276353
DyCl,Dy,Cl,4.07,4.423949474494349,-4.423949474494349,17,14.317821063276353
LuCl,Lu,Cl,3.94,4.423949474494349,-4.423949474494349,17,14.317821063276353
TmCl,Tm,Cl,3.92,4.423949474494349,-4.423949474494349,17,14.317821063276353
YbCl,Yb,Cl,3.88,4.423949474494349,-4.423949474494349,17,14.317821063276353
CeBr,Ce,Br,3.87,3.8591455290497665,-3.8591455290497665,16,14.142135623730951
BaBr,Ba,Br,3.71,3.976623360667486,-3.976623360667486,17,15.132745950421556
SeS,Se,S,3.7,0.3572288901111812,-0.3572288901111812,1,1.0
PrBr,Pr,Br,3.57,3.8591455290497665,-3.8591455290497665,16,14.142135623730951
NdBr,Nd,Br,3.52,3.8591455290497665,-3.8591455290497665,16,14.142135623730951
TeS,Te,S,3.5,0.6451933045308296,-0.6451933045308296,2,2.0
SrS,Sr,S,3.48,3.787517830467359,-3.787517830467359,16,14.142135623730951
TbI,Tb,I,3.48,3.5056676627494365,-3.5056676627494365,15,14.035668847618199
PmBr,Pm,Br,3.47,3.8591455290497665,-3.8591455290497665,16,14.142135623730951
GdI,Gd,I,3.46,3.5056676627494365,-3.5056676627494365,15,14.035668847618199
CaS,Ca,S,3.46,3.9329535581835557,-3.9329535581835557,15,14.035668847618199
SmBr,Sm,Br,3.43,3.8591455290497665,-3.8591455290497665,16,14.142135623730951
EuBr,Eu,Br,3.38,3.8591455290497665,-3.8591455290497665,16,14.142135623730951
ErI,Er,I,3.27,3.5056676627494365,-3.5056676627494365,15,14.035668847618199
AgCl,Ag,Cl,3.22,2.932906217851464,-2.932906217851464,8,6.324555320336759
PrI,Pr,I,3.17,3.5056676627494365,-3.5056676627494365,15,14.035668847618199
NdI,Nd,I,3.12,3.5056676627494365,-3.5056676627494365,15,14.035668847618199
AgBr,Ag,Br,3.1,2.3681022724068814,-2.3681022724068814,7,6.082762530298219
PmI,Pm,I,3.07,3.5056676627494365,-3.5056676627494365,15,14.035668847618199
SmI,Sm,I,3.04,3.5056676627494365,-3.5056676627494365,15,14.035668847618199
EuI,Eu,I,2.99,3.5056676627494365,-3.5056676627494365,15,14.035668847618199
HoI,Ho,I,2.85,3.5056676627494365,-3.5056676627494365,15,14.035668847618199
DyI,Dy,I,2.85,3.5056676627494365,-3.5056676627494365,15,14.035668847618199
LuI,Lu,I,2.73,3.5056676627494365,-3.5056676627494365,15,14.035668847618199
TmI,Tm,I,2.7,3.5056676627494365,-3.5056676627494365,15,14.035668847618199
YbI,Yb,I,2.67,3.5056676627494365,-3.5056676627494365,15,14.035668847618199
AgI,Ag,I,2.6,2.0146244061065515,-2.0146244061065515,6,6.0
BrCl,Br,Cl,2.233,0.7589427524031063,-0.7589427524031063,1,1.0
ICl,I,Cl,2.1531,1.3140614732836629,-1.3140614732836629,2,2.0
NaLi,Na,Li,0.88097,0.7099212188308875,-0.7099212188308875,1,1.0
LiRb,Li,Rb,0.7341,1.3485555804997018,-1.3485555804997018,3,3.0
LiCs,Li,Cs,0.7284639,1.5712510944285365,-1.5712510944285365,4,4.0
NaK,Na,K,0.646175,0.39178132738542515,-0.39178132738542515,1,1.0
NaRb,Na,Rb,0.61713614,0.6386343616688145,-0.6386343616688145,2,2.0
KRb,K,Rb,0.5183,0.2468530342833893,-0.2468530342833893,1,1.0
RbCs,Rb,Cs,0.47562,0.2226955139288347,-0.2226955139288347,1,1.0
XeCl,Xe,Cl,0.03,1.8481039376987924,-1.8481039376987924,3,2.23606797749979
