symbol,laplacian,hardness_eta,softness_S
He,-7.553233446326412,12.2935,0.08134379956887787
Li,5.189706248521402,2.387,0.41893590280687054
Be,-1.2054385605541078,4.6615,0.21452322213879652
B,1.1620509992553103,4.0105,0.2493454681461164
C,0.19132740588300323,4.9985,0.20006001800540163
N,-1.243149439648354,7.267,0.13760836658868858
O,1.3176486014515671,6.0785,0.16451427161306242
F,0.20979584211401425,7.010999999999999,0.1426330052774212
Ne,-4.732683358712004,10.7825,0.09274287039183862
Na,3.9681958832936015,2.2955,0.43563493792202135
Mg,-1.1464908225047945,3.823,0.26157467957101754
Al,1.2168527735607022,2.7765,0.3601656762110571
Si,0.11629473366507459,3.3814999999999995,0.29572674848440045
P,-0.6881210271636861,4.8705,0.2053177291859152
S,0.7781716127208003,4.1415,0.2414584087890861
Cl,0.13187679290712762,4.6775,0.2137894174238375
Ar,-3.0553484194534617,7.88,0.12690355329949238
K,2.412110660062744,1.9200000000000002,0.5208333333333333
Ca,-0.1455653067078343,3.044,0.328515111695138
Sc,-0.09783067393237221,3.1870000000000003,0.31377470975839344
Ti,-0.0666884379398025,3.3745000000000003,0.296340198547933
V,-0.04903777332409576,3.1105,0.3214917215881691
Cr,0.4677722974520494,3.0505,0.327815112276676
Mn,-0.271236283494003,3.717,0.26903416733925206
Fe,-0.09613385972545974,3.8755,0.2580312217778351
Co,-0.17602523134322956,3.6095,0.2770466823659787
Ni,0.3419393902284983,3.242,0.30845157310302285
Cu,0.2540799519976506,3.2455,0.3081189339084887
Zn,-1.3488477319221364,4.697,0.21290185224611455
Ga,1.5061202658337685,2.7845,0.3591309032142216
Ge,0.007788841371872635,3.3335,0.2999850007499625
As,-0.5334112205556524,4.4875,0.22284122562674097
Se,0.5945980362232083,3.8655000000000004,0.2586987453110852
Br,-0.009218900371427807,4.225,0.2366863905325444
Kr,-2.250980800106087,7.0,0.14285714285714285
