Z,Symbol,IE_eV,IE_source,R_pm,R_source,alpha_au,alpha_source
1,H,13.598,NIST ASD v5.11,31,Cordero 2008,4.507,S&N 2025 recommended
2,He,24.587,NIST ASD v5.11,28,Cordero 2008,1.384,S&N 2025 recommended
3,Li,5.392,NIST ASD v5.11,128,Cordero 2008,164.11,S&N 2025 recommended
4,Be,9.323,NIST ASD v5.11,96,Cordero 2008,37.74,S&N 2025 recommended
5,B,8.298,NIST ASD v5.11,84,Cordero 2008,20.5,S&N 2025 recommended
6,C,11.260,NIST ASD v5.11,73,Cordero 2008,11.3,S&N 2025 recommended
7,N,14.534,NIST ASD v5.11,71,Cordero 2008,7.4,S&N 2025 recommended
8,O,13.618,NIST ASD v5.11,66,Cordero 2008,5.3,S&N 2025 recommended
9,F,17.423,NIST ASD v5.11,57,Cordero 2008,3.74,S&N 2025 recommended
10,Ne,21.565,NIST ASD v5.11,58,Cordero 2008,2.661,S&N 2025 recommended
11,Na,5.139,NIST ASD v5.11,166,Cordero 2008,162.7,S&N 2025 recommended
12,Mg,7.646,NIST ASD v5.11,141,Cordero 2008,71.2,S&N 2025 recommended
13,Al,5.986,NIST ASD v5.11,121,Cordero 2008,57.8,S&N 2025 recommended
14,Si,8.152,NIST ASD v5.11,111,Cordero 2008,37.3,S&N 2025 recommended
15,P,10.487,NIST ASD v5.11,107,Cordero 2008,25.0,S&N 2025 recommended
16,S,10.360,NIST ASD v5.11,105,Cordero 2008,19.4,S&N 2025 recommended
17,Cl,12.968,NIST ASD v5.11,102,Cordero 2008,14.6,S&N 2025 recommended
18,Ar,15.760,NIST ASD v5.11,106,Cordero 2008,11.083,S&N 2025 recommended
19,K,4.341,NIST ASD v5.11,203,Cordero 2008,289.7,S&N 2025 recommended
20,Ca,6.113,NIST ASD v5.11,176,Cordero 2008,160.8,S&N 2025 recommended
21,Sc,6.562,NIST ASD v5.11,170,Cordero 2008,97.0,S&N 2025 recommended
22,Ti,6.828,NIST ASD v5.11,160,Cordero 2008,87.0,S&N 2025 recommended
23,V,6.746,NIST ASD v5.11,153,Cordero 2008,87.0,S&N 2025 recommended
24,Cr,6.767,NIST ASD v5.11,139,Cordero 2008,83.0,S&N 2025 recommended
25,Mn,7.434,NIST ASD v5.11,150,Cordero 2008,68.0,S&N 2025 recommended
